+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; system_inst|mm_interconnect_1                                                                                                                                                                                                                                                                                                   ; 1132  ; 0              ; 1            ; 0              ; 1129   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|mm_interconnect_0|acl_iface_kernel_mem0_translator                                                                                                                                                                                                                                                                  ; 1142  ; 4              ; 0            ; 4              ; 1129   ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|mm_interconnect_0|single_kernel_system_avm_memgmem0_port_0_0_rw_translator                                                                                                                                                                                                                                          ; 1139  ; 15             ; 2            ; 15             ; 1136   ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|mm_interconnect_0                                                                                                                                                                                                                                                                                                   ; 1132  ; 0              ; 1            ; 0              ; 1129   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                         ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                   ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated|dpfifo                                                                                                                                                        ; 10    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back|port_num_fifo|auto_generated                                                                                                                                                               ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[1].lsu_rd_back                                                                                                                                                                                            ; 523   ; 2              ; 1            ; 2              ; 515    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                         ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                   ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated|dpfifo                                                                                                                                                        ; 10    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back|port_num_fifo|auto_generated                                                                                                                                                               ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_DISABLE_DATA_REORDER.GEN_DATA_VALID[0].lsu_rd_back                                                                                                                                                                                            ; 523   ; 2              ; 1            ; 2              ; 515    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_SINGLE_WR_RING.wr_ring|GEN_DISABLE_FAST.GEN_IC[1].ic                                                                                                                                                  ; 1225  ; 2              ; 0            ; 2              ; 616    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_SINGLE_WR_RING.wr_ring|GEN_DISABLE_FAST.GEN_IC[0].ic                                                                                                                                                  ; 1225  ; 580            ; 0            ; 580            ; 616    ; 580             ; 580           ; 580             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_SINGLE_WR_RING.wr_ring                                                                                                                                                                                ; 1256  ; 36             ; 0            ; 36             ; 617    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                         ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                   ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                ; 628   ; 0              ; 0            ; 0              ; 606    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated|dpfifo                                                                                                                                                        ; 611   ; 0              ; 0            ; 0              ; 616    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[1].wr_fifo|auto_generated                                                                                                                                                               ; 610   ; 0              ; 0            ; 0              ; 608    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                         ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                   ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                ; 628   ; 0              ; 0            ; 0              ; 606    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated|dpfifo                                                                                                                                                        ; 611   ; 0              ; 0            ; 0              ; 616    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_WRITE_RING.GEN_WR_ROOT_FIFOS[0].wr_fifo|auto_generated                                                                                                                                                               ; 610   ; 0              ; 0            ; 0              ; 608    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                                ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                                         ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                                            ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                                        ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                                  ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                               ; 52    ; 0              ; 0            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated|dpfifo                                                                                                                                                                       ; 35    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[1].rd_fifo|auto_generated                                                                                                                                                                              ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|wr_ptr                                                                                                                                                                ; 4     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|usedw_counter                                                                                                                                                         ; 5     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|rd_ptr_msb                                                                                                                                                            ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|two_comparison                                                                                                                                                        ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|almost_full_comparer                                                                                                                                                  ; 18    ; 9              ; 0            ; 9              ; 1      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo|FIFOram                                                                                                                                                               ; 52    ; 0              ; 0            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated|dpfifo                                                                                                                                                                       ; 35    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.GEN_RD_SET[0].rd_fifo|auto_generated                                                                                                                                                                              ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.rd_ring|GEN_ENABLE_FAST.lsu_n_fast                                                                                                                                                                                ; 647   ; 1189           ; 0            ; 1189           ; 615    ; 1189            ; 1189          ; 1189            ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring|GEN_MULTIPLE_PORT.GEN_ENABLE_RD.rd_ring                                                                                                                                                                                                           ; 647   ; 1192           ; 0            ; 1192           ; 615    ; 1192            ; 1192          ; 1192            ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic|lsu_token_ring                                                                                                                                                                                                                                                   ; 2342  ; 2              ; 64           ; 2              ; 1736   ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top|GEN_SW_DIMM.lsu_ic                                                                                                                                                                                                                                                                  ; 2342  ; 2              ; 0            ; 2              ; 1736   ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|lsu_ic_top                                                                                                                                                                                                                                                                                     ; 2360  ; 76             ; 18           ; 76             ; 1746   ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|genetic_algorithm_start_elem_inst_0                                                                                                                                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|single_kernel_system|genetic_algorithm_inst_0|local_mem_system_aspace7.local_mem_group[0].port2bank0[0].data_ic|s.s_endp|rrp                                                                                                                                                                                        ; 11    ; 1              ; 2            ; 1              ; 1      ; 1               ; 1             ; 1               ; 33    ; 0              ; 24           ; 0                ; 24                ;
; system_inst|single_kernel_system|genetic_algorithm_inst_0|local_mem_system_aspace7.local_mem_group[0].port2bank0[0].data_ic|s.s_endp|wrp                                                                                                                                                                                        ; 3     ; 1              ; 3            ; 1              ; 1      ; 1               ; 1             ; 1               ; 25    ; 0              ; 22           ; 0                ; 22                ;
